Models importing done.
Loading Tracker...
Loading Pose Estimator...
Loading Assault Detector...
[AssaultDetector] Loading VGG19 + BiLSTM assault model ...
[AssaultDetector]  Loaded
All models loaded!
Frame 106 - PoseTrack 7: conf=0.521, is_assault=False
Frame 107 - PoseTrack 7: conf=0.521, is_assault=False
Frame 108 - PoseTrack 7: conf=0.521, is_assault=False
Frame 109 - PoseTrack 7: conf=0.521, is_assault=False
Frame 110 - PoseTrack 7: conf=0.521, is_assault=False
Frame 111 - PoseTrack 7: conf=0.522, is_assault=False
Frame 112 - PoseTrack 7: conf=0.519, is_assault=False
Frame 113 - PoseTrack 7: conf=0.520, is_assault=False
Frame 114 - PoseTrack 7: conf=0.520, is_assault=False
Frame 115 - PoseTrack 7: conf=0.520, is_assault=False
Frame 116 - PoseTrack 7: conf=0.520, is_assault=False
Frame 117 - PoseTrack 7: conf=0.520, is_assault=False
Frame 118 - PoseTrack 7: conf=0.523, is_assault=False
Frame 119 - PoseTrack 7: conf=0.521, is_assault=False
Frame 120 - PoseTrack 7: conf=0.518, is_assault=False
Frame 121 - PoseTrack 7: conf=0.519, is_assault=False
Frame 122 - PoseTrack 7: conf=0.517, is_assault=False
Frame 123 - PoseTrack 7: conf=0.519, is_assault=False
Frame 124 - PoseTrack 7: conf=0.521, is_assault=False
Frame 125 - PoseTrack 7: conf=0.521, is_assault=False
Frame 126 - PoseTrack 7: conf=0.523, is_assault=False
Frame 127 - PoseTrack 7: conf=0.523, is_assault=False
Frame 128 - PoseTrack 7: conf=0.526, is_assault=False
Frame 129 - PoseTrack 7: conf=0.524, is_assault=False
Frame 130 - PoseTrack 7: conf=0.526, is_assault=False
Frame 131 - PoseTrack 7: conf=0.526, is_assault=False
Frame 132 - PoseTrack 7: conf=0.525, is_assault=False
Frame 133 - PoseTrack 7: conf=0.525, is_assault=False
Frame 134 - PoseTrack 7: conf=0.529, is_assault=False
Frame 135 - PoseTrack 7: conf=0.529, is_assault=False
Frame 136 - PoseTrack 7: conf=0.529, is_assault=False
Frame 137 - PoseTrack 7: conf=0.530, is_assault=False
Frame 138 - PoseTrack 7: conf=0.530, is_assault=False
Frame 139 - PoseTrack 7: conf=0.530, is_assault=False
Frame 140 - PoseTrack 7: conf=0.530, is_assault=False
Frame 141 - PoseTrack 7: conf=0.530, is_assault=False
Frame 142 - PoseTrack 7: conf=0.530, is_assault=False
Frame 143 - PoseTrack 7: conf=0.530, is_assault=False
Frame 144 - PoseTrack 7: conf=0.529, is_assault=False
Frame 145 - PoseTrack 7: conf=0.529, is_assault=False
Frame 146 - PoseTrack 7: conf=0.529, is_assault=False
Frame 147 - PoseTrack 7: conf=0.529, is_assault=False
Frame 148 - PoseTrack 7: conf=0.530, is_assault=False
Frame 149 - PoseTrack 7: conf=0.530, is_assault=False
Frame 150 - PoseTrack 7: conf=0.530, is_assault=False
Frame 151 - PoseTrack 7: conf=0.530, is_assault=False
Frame 152 - PoseTrack 7: conf=0.529, is_assault=False
Frame 153 - PoseTrack 7: conf=0.529, is_assault=False
Frame 154 - PoseTrack 7: conf=0.531, is_assault=False
Frame 156 - PoseTrack 7: conf=0.529, is_assault=False
Frame 157 - PoseTrack 7: conf=0.528, is_assault=False
Frame 158 - PoseTrack 7: conf=0.527, is_assault=False
Frame 159 - PoseTrack 7: conf=0.526, is_assault=False
Frame 160 - PoseTrack 7: conf=0.525, is_assault=False
Frame 164 - PoseTrack 7: conf=0.526, is_assault=False
Frame 165 - PoseTrack 7: conf=0.526, is_assault=False
Frame 166 - PoseTrack 7: conf=0.527, is_assault=False
Frame 167 - PoseTrack 7: conf=0.524, is_assault=False
Frame 168 - PoseTrack 7: conf=0.524, is_assault=False
Frame 169 - PoseTrack 7: conf=0.526, is_assault=False
Frame 170 - PoseTrack 7: conf=0.529, is_assault=False
Frame 171 - PoseTrack 7: conf=0.531, is_assault=False
Frame 192 - PoseTrack 28: conf=0.517, is_assault=False
Frame 192 - PoseTrack 29: conf=0.522, is_assault=False
Frame 193 - PoseTrack 28: conf=0.519, is_assault=False
Frame 193 - PoseTrack 29: conf=0.522, is_assault=False
Frame 194 - PoseTrack 28: conf=0.521, is_assault=False
Frame 194 - PoseTrack 29: conf=0.524, is_assault=False
Frame 195 - PoseTrack 28: conf=0.522, is_assault=False
Frame 195 - PoseTrack 29: conf=0.525, is_assault=False
Frame 196 - PoseTrack 29: conf=0.526, is_assault=False
Frame 197 - PoseTrack 29: conf=0.527, is_assault=False
Frame 198 - PoseTrack 29: conf=0.527, is_assault=False
Frame 199 - PoseTrack 29: conf=0.525, is_assault=False
Frame 200 - PoseTrack 29: conf=0.524, is_assault=False
Frame 201 - PoseTrack 29: conf=0.525, is_assault=False
Frame 202 - PoseTrack 29: conf=0.526, is_assault=False
Frame 203 - PoseTrack 29: conf=0.524, is_assault=False
Frame 204 - PoseTrack 29: conf=0.521, is_assault=False
Frame 205 - PoseTrack 29: conf=0.519, is_assault=False
